Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
10. Long Term Loans and advances,,In Lakhs,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
"Unsecured, considered good",,,,,,
Long Term - Security Deposits,81.80887,66.46452,,,,
,81.80887,66.46452,,,,
11. Inventories,,,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
Consumables,9.9217,10.13265,,,,
,9.9217,10.13265,,,,
12. Trade receivables,,,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
"Unsecured, considered good",,,,,,
Outstanding for a period exceeding six months from the date they are due for payment,769.7080509,932.93111,,,,
Other receivables,64.0810122,104.85535859999999,,,,
,833.7890631,1037.7864686,,,,
Age wise analysis of Trade receivables as on 31.03.2024,,,,,,
Particulars,Outstanding for following periods from due date of payment,,,,,Total
,0 - 6 months,6 months - 1 Year,1 - 2 Years,2 - 3 Years,More than 3 Years,
Undisputed,,,,,,
- Considered good,769.7080509,42.66422,21.416792200000003,0,0,833.7890631
- Considered doubtful,0,0,0,0,0,0
Disputed,,,,,,
- Considered good,0,0,0,0,0,0
- Considered doubtful,0,0,0,0,0,0
Total,769.7080509,42.66422,21.416792200000003,0,0,833.7890631
Age wise analysis of Trade receivables as on 31.03.2023,,,,,,
Particulars,Outstanding for following periods from due date of payment,,,,,Total
,0 - 6 months,6 months - 1 Year,1 - 2 Years,2 - 3 Years,More than 3 Years,
Undisputed,,,,,,
- Considered good,932.93485,104.85535859999999,0,0,0,1037.7902086
- Considered doubtful,0,0,0,0,0,0
Disputed,,,,,,
- Considered good,0,0,0,0,0,0
- Considered doubtful,0,0,0,0,0,0
Total,932.93485,104.85535859999999,0,0,0,1037.7902086
13. Cash and bank balances,,,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
Cash and cash equivalents,,,,,,
Balances with banks in current accounts,188.4338718,564.509016,,,,
Cash on hand,3.68228,3.87068,,,,
Other Bank Balances,,,,,,
Fixed Deposits with ICICI Bank,402.98954,554.06937,,,,
,595.1056917999999,1122.4490660000001,,,,
14. Short Term Loans and Advances,,,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
"Unsecured, considered good",,,,,,
Prepaid Expenses,15.89845,12.67096,,,,
Other Advances,256.65531,5.16976,,,,
Other loans and advances,,,,,,
Advance tax,112.85077,251.3,,,,
Balances with statutory/government authorities,117.8588135,520.1340734,,,,
,503.2633435,789.2747934,,,,
15. Other Current Assets,,,,,,
,2024-03-31 00:00:00,2023-03-31 00:00:00,,,,
Interest accrued on fixed deposits,2.18107,1.01368,,,,
,2.18107,1.01368,,,,
