Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,In Lakhs
Note 9 : Fixed Assets,,,,,,,,,,,
Particulars,,Gross Carrying Value,,,,Accumulated Depreciation,,,,Net Carrying Value,
,,As at 1st April 2023,Additions,Deletion,As at 31st March  2024,As at 1st April 2023,For the year,Deletion,As at 31st March  2024,As at 31st March  2024,As at 1st April 2023
Tangible Assets,,,,,,,,,,,
1,Buildings,3.12655,1419.0046275,0,1422.1311775,3.12654,14.78808,0,17.91462,1404.2165575,1.0000000000065512e-05
2,Computers & Peripherals,46.62075449999999,3.79707,0.15,50.26782449999999,36.49584,6.22167,0.0121,42.70541000000001,7.562414499999981,10.124914499999988
3,Electrical installations,150.9071416,69.28996,0,220.1971016,64.75893,15.90674,0,80.66567,139.5314316,86.14821159999998
4,Furniture & Fixtures,192.52880019999995,30.305571200000003,0,222.83437139999995,74.0063,18.98309,0,92.98939,129.84498139999994,118.52250019999995
5,Office Equipment,47.88966619999999,5.56433,0,53.45399619999999,36.85159,3.53485,0,40.38644,13.067556199999991,11.038076199999992
6,Plant & machinery,1767.4780778999996,96.436061,0,1863.9141388999997,364.38563,114.92519,0,479.31082,1384.6033188999997,1403.0924478999996
7,Motor Vehicle,71.9141047,0,0,71.9141047,8.78968,8.5632,0,17.35288,54.5612247,63.12442469999999
,Total,2280.4650950999994,1624.3976197000002,0.15,3904.7127147999995,588.41451,182.92282,0.0121,771.32523,3133.387484799999,1692.0505850999994
Intangible Assets,,,,,,,,,,,
1,Software,21.09198,17.71303,,38.805009999999996,15.02913,1.88706,0,16.91619,21.888819999999996,6.062849999999999
,Total,21.09198,17.71303,0,38.805009999999996,15.02913,1.88706,0,16.91619,21.888819999999996,6.062849999999999
,Grand Total,2301.5570750999996,1642.1106497,0.15,3943.5177247999995,603.44364,184.80988,0.0121,788.2414200000001,3155.2763047999993,1698.1134350999994
,,,,,,3340.0740847999996,,184.79778,,3155.2763047999997,
,,,,,,,,-37917389.502220005,,,
